model,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_pr_auc,uninfected_f1,parasitized_f1
baseline_cnn,0.9550181378476421,0.9551883095484931,0.9550181378476421,0.9550138229256362,0.98834264892073,0.988804651434806,0.9554597701149425,0.9545676599902296
resnet50_transfer,0.9453446191051995,0.9463882958184796,0.9453446191051995,0.9453123146475843,0.9870866120364313,0.987625748366097,0.9466477809254014,0.9439762022806147
